Designator,Mid X,Mid Y,Layer,Rotation
U17,50.2920mm,15.7480mm,Top,360
U15,50.2920mm,12.1920mm,Top,360
LED1,65.7234mm,46.9138mm,Top,360
LED2,82.5500mm,13.3340mm,Top,270
LED6,61.6340mm,25.1460mm,Top,360
LED5,39.0788mm,9.3726mm,Top,180
LED4,86.6140mm,29.5520mm,Top,90
LED3,86.6140mm,24.5500mm,Top,270
X1,39.7444mm,69.1580mm,Top,360
U2,65.6844mm,34.7726mm,Top,0
U3,95.5040mm,15.7480mm,Top,90
U14,20.7391mm,20.7006mm,Top,90
U1,57.1754mm,66.2940mm,Top,0
SW2,57.6834mm,86.9442mm,Top,270
SW1,35.2552mm,60.6806mm,Top,360
L1,34.5440mm,19.0500mm,Top,270
